datetime,AMZN,GOOG,GS,MS
2012-07-23,226.009995,307.448087,87.445455,11.840134
2012-07-24,223.039993,303.482052,88.675096,11.821399
2012-07-25,217.050003,303.691825,90.073695,12.139884
2012-07-26,220.009995,306.374161,92.044877,12.177352
2012-07-27,237.320007,317.163394,95.405277,12.685134
2012-07-30,236.089996,315.834711,94.691895,12.703941
2012-07-31,233.300003,316.169369,94.710672,12.844991
2012-08-01,232.089996,316.024532,93.950353,12.703941
2012-08-02,230.809998,314.061482,91.810212,12.252579
2012-08-03,234.970001,320.345207,94.785766,12.957831
2012-08-06,233.990005,321.089464,95.761965,13.296353
2012-08-07,236.559998,319.950602,96.90713,13.634874
2012-08-08,234.380005,320.794742,96.212524,13.700697
2012-08-09,234.059998,320.85469,97.245048,13.832344
2012-08-10,232.75,320.679864,96.700624,13.73831
2012-08-13,232.440002,329.675885,97.254436,13.681891
2012-08-14,233.190002,333.996591,96.925907,13.531437
2012-08-15,237.419998,333.437136,96.803877,13.7101
2012-08-16,241.550003,336.09949,97.141795,13.719504
2012-08-17,241.169998,338.232347,97.245048,13.719504
2012-08-20,240.350006,337.433161,98.821995,13.945184
2012-08-21,239.449997,334.421155,98.859542,14.001605
2012-08-22,243.100006,338.25233,98.249412,13.973394
2012-08-23,241.199997,338.062509,97.695607,13.634874
2012-08-24,245.740005,338.976604,98.521624,13.691294
2012-08-27,243.919998,334.276288,98.671813,13.663083
2012-08-28,246.110001,338.287307,99.020641,13.728908
2012-08-29,247.119995,343.661926,99.492033,13.926378
2012-08-30,246.220001,340.500096,98.72838,14.011008
2012-08-31,248.270004,342.203371,99.671165,14.105042
2012-09-04,247.880005,340.180403,100.321688,14.584613
2012-09-05,246.220001,340.020572,103.649716,14.74447
2012-09-06,251.380005,349.35125,107.043738,15.280462
2012-09-07,259.140015,352.722883,109.674107,16.060941
2012-09-10,257.089996,350.035559,108.118512,15.618983
2012-09-11,255.669998,345.74983,110.01351,16.220798
2012-09-12,255.630005,345.095511,111.474822,16.380655
2012-09-13,260.23999,352.667923,113.765788,16.832016
2012-09-14,261.269989,354.486137,114.416312,17.15173
2012-09-17,258.0,354.635961,113.039847,16.737982
2012-09-18,258.75,358.781841,113.020988,16.578125
2012-09-19,261.679993,363.387232,112.210192,16.521705
2012-09-20,260.809998,363.696918,110.899723,16.183184
2012-09-21,257.470001,366.628993,110.041793,16.060941
2012-09-24,254.800003,374.316314,109.928656,16.023328
2012-09-25,252.460007,374.206424,107.006026,15.60958
2012-09-26,249.669998,376.354307,106.610058,15.449723
2012-09-27,256.589996,377.87278,108.637046,15.83526
2012-09-28,254.320007,376.873766,107.175727,15.741226
2012-10-01,252.009995,380.510132,110.173782,15.788244
2012-10-02,250.600006,378.11753,110.541467,15.901083
2012-10-03,255.919998,380.869791,111.163708,16.013925
2012-10-04,260.470001,383.642004,113.039847,16.427671
2012-10-05,258.51001,383.442207,112.483601,16.455882
2012-10-08,259.059998,378.542094,112.62502,16.408866
